"250pr0001 Red HO Scale Bedford ESSO Tank Truck - Side Indicators","1250-2 v1 1955 1:87 Esso Bedford Tanker"
"250pr0001 Red HO Scale Bedford ESSO Tank Truck - Side Indicators","1310-1 v1 1956 ESSO Filling Station"
"250pr0001 Red HO Scale Bedford ESSO Tank Truck - Side Indicators","1310-1 v2 1956 ESSO Filling Station"
"250pr0001 Red HO Scale Bedford ESSO Tank Truck - Side Indicators","250-2 v1 1956 1:87 Esso Bedford Tanker"
"250pr0001 Red HO Scale Bedford ESSO Tank Truck - Side Indicators","310-5 v1 1958 ESSO Filling Station"
"250pr0002 Red HO Scale Bedford ESSO Tank Truck - Front Indicators","1250-2 v2 1955 1:87 Esso Bedford Tanker"
"250pr0002 Red HO Scale Bedford ESSO Tank Truck - Front Indicators","250-2 v2 1956 1:87 Esso Bedford Tanker"
"251pr0001 Red HO Scale Bedford ESSO Barrel Truck - Front Indicators","1251-2 v1 1955 1:87 Esso Bedford Truck"
"251pr0001 Red HO Scale Bedford ESSO Barrel Truck - Front Indicators","251-2 v1 1956 1:87 Esso Bedford Truck"
"251pr0002 Red HO Scale Bedford ESSO Barrel Truck - Side Indicators","1251-2 v2 1955 1:87 Esso Bedford Truck"
"251pr0002 Red HO Scale Bedford ESSO Barrel Truck - Side Indicators","251-2 v2 1956 1:87 Esso Bedford Truck"
"252pr0001 Red HO Scale Bedford ESSO Barrel Trailer","1252-2 v1 1955 1:87 Esso Bedford Trailer"
"252pr0001 Red HO Scale Bedford ESSO Barrel Trailer","252-2 v1 1956 1:87 Esso Bedford Trailer"
"253pr0001 Blue HO Scale Bedford Flatbed - Front Indicators","1253-2 v1 1955 1:87 Bedford Flatbed Truck"
"253pr0001 Blue HO Scale Bedford Flatbed - Front Indicators","253-1 v1 1958 1:87 Bedford Flatbed Truck"
"253pr0002 Blue HO Scale Bedford Flatbed - Side Indicators","1253-2 v2 1955 1:87 Bedford Flatbed Truck"
"253pr0002 Blue HO Scale Bedford Flatbed - Side Indicators","253-1 v2 1958 1:87 Bedford Flatbed Truck"
"254pr0001 White HO Scale Bedford Flatbed Trailer","1254-2 v1 1955 1:87 Bedford Flatbed Trailer"
"254pr0001 White HO Scale Bedford Flatbed Trailer","254-2 v1 1958 1:87 Bedford Flatbed Trailer"
"255pr0001 Red HO Scale Bedford Fire Engine - Front Indicators","1255-2 v1 1955 1:87 Bedford Fire Engine"
"255pr0001 Red HO Scale Bedford Fire Engine - Front Indicators","1308-1 v1 1957 Fire Station"
"255pr0001 Red HO Scale Bedford Fire Engine - Front Indicators","255-1 v1 1958 1:87 Bedford Fire Engine"
"255pr0001 Red HO Scale Bedford Fire Engine - Front Indicators","308-3 v1 1958 Fire Station"
"255pr0002 Red HO Scale Bedford Fire Engine - Side Indicators","1255-2 v2 1955 1:87 Bedford Fire Engine"
"255pr0002 Red HO Scale Bedford Fire Engine - Side Indicators","255-1 v2 1958 1:87 Bedford Fire Engine"
"256pr0001 Red HO Scale Bedford Tow Truck - Front Indicators","1256-2 v1 1955 1:87 Bedford Tow Truck"
"256pr0001 Red HO Scale Bedford Tow Truck - Front Indicators","256-2 v1 1958 1:87 Bedford Tow Truck"
"256pr0002 Red HO Scale Bedford Tow Truck - Side Indicators","1256-2 v2 1955 1:87 Bedford Tow Truck"
"256pr0002 Red HO Scale Bedford Tow Truck - Side Indicators","256-2 v2 1958 1:87 Bedford Tow Truck"
"257pr0001 Yellow HO Scale Bedford Moving Van - Side Indicators - LEGO Transport in White","1257-2 v1 1955 1:87 Bedford Delivery Truck"
"257pr0001 Yellow HO Scale Bedford Moving Van - Side Indicators - LEGO Transport in White","257-1 v1 1958 1:87 Bedford Delivery Truck"
"257pr0002 Yellow HO Scale Bedford Moving Van - Side Indicators - LEGO Transport in Gold","1257-2 v2 1955 1:87 Bedford Delivery Truck"
"257pr0002 Yellow HO Scale Bedford Moving Van - Side Indicators - LEGO Transport in Gold","257-1 v2 1958 1:87 Bedford Delivery Truck"
"257pr0003 Yellow HO Scale Bedford Moving Van - Front Indicators - LEGO Transport in Gold","1257-2 v3 1955 1:87 Bedford Delivery Truck"
"257pr0003 Yellow HO Scale Bedford Moving Van - Front Indicators - LEGO Transport in Gold","257-1 v4 1958 1:87 Bedford Delivery Truck"
"257pr0004 Yellow HO Scale Bedford Moving Van - Front Indicators - LEGO in Blue, Transport in Gold","257-1 v3 1958 1:87 Bedford Delivery Truck"
"258pr0001 Red HO Scale VW Van - Blue Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0001 White HO Scale VW Van - Blue Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0001 Yellow HO Scale VW Van - Blue Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0002 Light Gray HO Scale VW Van - Blue Base, Philips print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0003 Blue HO Scale VW Van - Blue Base, Nezlo print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0004 Red HO Scale VW Van - Green Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0004 White HO Scale VW Van - Green Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0004 Yellow HO Scale VW Van - Green Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0005 Green HO Scale VW Van - Green Base, Kastener & Öhler print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0006 Blue HO Scale VW Van - Red Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0006 Green HO Scale VW Van - Red Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0006 White HO Scale VW Van - Red Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0006 Yellow HO Scale VW Van - Red Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0009 Blue HO Scale VW Van - White Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0009 Green HO Scale VW Van - White Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0009 Red HO Scale VW Van - White Base","236-2 v1 1957 Garage and Van"
"258pr0009 Red HO Scale VW Van - White Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0009 Yellow HO Scale VW Van - White Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0010 White HO Scale VW Van - White Base, KØLEVOGN print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0011 Red HO Scale VW Van - White Base, Spar print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0012 Blue HO Scale VW Van - Yellow Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0012 Green HO Scale VW Van - Yellow Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0012 Red HO Scale VW Van - Yellow Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0012 White HO Scale VW Van - Yellow Base","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0013 Yellow HO Scale VW Van - Yellow Base, SERVOFIX 623402 print","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0014 Red HO Scale VW Van - Blue Base, Completely Colored Top","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"258pr0015 Green HO Scale VW Van - White Base, Completely Colored Top","DATABASE-HO-2 v1 1958 Database Set for 1:87 VW Vans"
"259pr0001 White HO Scale VW Pickup- Blue Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0001 Yellow HO Scale VW Pickup- Blue Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0002 White HO Scale VW Pickup- Green Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0002 Yellow HO Scale VW Pickup- Green Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0003 White HO Scale VW Pickup- Red Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0003 Yellow HO Scale VW Pickup- Red Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0004 Blue HO Scale VW Pickup - White Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0004 Green HO Scale VW Pickup - White Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0004 Red HO Scale VW Pickup - White Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0006 Blue HO Scale VW Pickup - Yellow Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0006 Green HO Scale VW Pickup - Yellow Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"259pr0006 Red HO Scale VW Pickup - Yellow Base","259-1-DBASE-1 v1 1958 Database Set for 259-1"
"260pr0001 Black HO Scale VW Beetle (Short Version)","307-2 v1 1958 VW Auto Showroom"
"260pr0001 Black HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","1306-1 v1 1957 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","1306-1 v2 1957 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","1306-1 v3 1957 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","1306-1 v4 1957 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","306-2 v1 1958 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","306-2 v2 1958 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","306-2 v3 1958 VW Garage"
"260pr0001 Blue HO Scale VW Beetle (Short Version)","306-2 v4 1958 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","1306-1 v1 1957 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","1306-1 v2 1957 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","1306-1 v3 1957 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","1306-1 v4 1957 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","306-2 v1 1958 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","306-2 v2 1958 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","306-2 v3 1958 VW Garage"
"260pr0001 Green HO Scale VW Beetle (Short Version)","306-2 v4 1958 VW Garage"
"260pr0001 HO Aqua HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Blue-gray HO Scale VW Beetle (Short Version)","306-2 v5 1958 VW Garage"
"260pr0001 HO Blue-gray HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Cyan HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Aqua HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Blue HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Green HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Lime HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Red HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Dark Sand Green HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Earth Orange HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Gold HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Light Aqua HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Light Gold HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Light Tan HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Light Yellow HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Medium Blue HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Medium Red HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Metallic Blue HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Metallic Dark Gray HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Metallic Green HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Metallic Sand Blue HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Olive Green HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Rose HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Sand Blue HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Sand Green HO Scale VW Beetle (Short Version)","306-2 v5 1958 VW Garage"
"260pr0001 HO Sand Green HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Tan HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 HO Titanium HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 Light Gray HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"260pr0001 Red HO Scale VW Beetle (Short Version)","1307-1 v1 1957 VW Auto Showroom"
"260pr0001 Red HO Scale VW Beetle (Short Version)","307-2 v1 1958 VW Auto Showroom"
"260pr0001 Red HO Scale VW Beetle (Short Version)","DATABASE-HO-3 v1 1958 Database Set for 1:87 VW Beetles (Short)"
"270pr0001 Green HO Scale Bicycle [Racing]","270-1 v1 1958 5 Cyclists / Motorcyclists"
"271pr0001 [No Color/Any Color] HO Scale Accessory Traffic Cone Island","1271-2 v1 1956 Traffic Police Set"
"271pr0001 [No Color/Any Color] HO Scale Accessory Traffic Cone Island","271-2 v1 1958 Traffic Police Set"
"271pr0002 [No Color/Any Color] HO Scale Accessory Traffic Light","1271-2 v1 1956 Traffic Police Set"
"271pr0002 [No Color/Any Color] HO Scale Accessory Traffic Light","271-2 v1 1958 Traffic Police Set"
"271pr0003 [No Color/Any Color] HO Scale Accessory Policeman Both Hands Left","1271-2 v1 1956 Traffic Police Set"
"271pr0003 [No Color/Any Color] HO Scale Accessory Policeman Both Hands Left","271-2 v1 1958 Traffic Police Set"
"271pr0004 [No Color/Any Color] HO Scale Accessory Policeman Both Hands Out","1271-2 v1 1956 Traffic Police Set"
"271pr0004 [No Color/Any Color] HO Scale Accessory Policeman Both Hands Out","271-2 v1 1958 Traffic Police Set"
"271pr0005 [No Color/Any Color] HO Scale Accessory Policeman One Hand Left","1271-2 v1 1956 Traffic Police Set"
"271pr0005 [No Color/Any Color] HO Scale Accessory Policeman One Hand Left","271-2 v1 1958 Traffic Police Set"
"271pr0006 [No Color/Any Color] HO Scale Accessory Policeman One Hand Up","1271-2 v1 1956 Traffic Police Set"
"271pr0006 [No Color/Any Color] HO Scale Accessory Policeman One Hand Up","271-2 v1 1958 Traffic Police Set"
"27ac01 Red Window 1 x 2 x 1 (old type) with Extended Lip and Solid Studs, with Fixed Glass","1231-2 v1 1956 Windows and Door with Glass, Red"
